new_la_code,la_name,date_of_operation,date_of_termination,parent_geography_code,entity_code,status
E06000033,Southend-on-Sea,01/01/2009,,E12000006,E06,live
E06000034,Thurrock,01/01/2009,,E12000006,E06,live
E06000035,Medway,01/01/2009,,E12000008,E06,live
E06000036,Bracknell Forest,01/01/2009,,E12000008,E06,live
E06000037,West Berkshire,01/01/2009,,E12000008,E06,live
E06000038,Reading,01/01/2009,,E12000008,E06,live
E06000039,Slough,01/01/2009,,E12000008,E06,live
E06000040,Windsor and Maidenhead,01/01/2009,,E12000008,E06,live
E06000041,Wokingham,01/01/2009,,E12000008,E06,live
E06000042,Milton Keynes,01/01/2009,,E12000008,E06,live
E06000043,Brighton and Hove,01/01/2009,,E12000008,E06,live
E06000044,Portsmouth,01/01/2009,,E12000008,E06,live
E06000045,Southampton,01/01/2009,,E12000008,E06,live
E06000046,Isle of Wight,01/01/2009,,E12000008,E06,live
E09000001,City of London,01/01/2009,,E12000007,E09,live
E09000002,Barking and Dagenham,01/01/2009,,E12000007,E09,live
E09000003,Barnet,01/01/2009,,E12000007,E09,live
E09000004,Bexley,01/01/2009,,E12000007,E09,live
E09000005,Brent,01/01/2009,,E12000007,E09,live
E09000006,Bromley,01/01/2009,,E12000007,E09,live
E09000007,Camden,01/01/2009,,E12000007,E09,live
E06000001,Hartlepool,01/01/2009,,E12000001,E06,live
E06000002,Middlesbrough,01/01/2009,,E12000001,E06,live
E06000003,Redcar and Cleveland,01/01/2009,,E12000001,E06,live
E06000004,Stockton-on-Tees,01/01/2009,,E12000001,E06,live
E06000005,Darlington,01/01/2009,,E12000001,E06,live
E06000006,Halton,01/01/2009,,E12000002,E06,live
E06000007,Warrington,01/01/2009,,E12000002,E06,live
E06000008,Blackburn with Darwen,01/01/2009,,E12000002,E06,live
E06000009,Blackpool,01/01/2009,,E12000002,E06,live
E06000010,"Kingston upon Hull, City of",01/01/2009,,E12000003,E06,live
E06000011,East Riding of Yorkshire,01/01/2009,,E12000003,E06,live
E06000012,North East Lincolnshire,01/01/2009,,E12000003,E06,live
E06000013,North Lincolnshire,01/01/2009,,E12000003,E06,live
E06000014,York,01/01/2009,,E12000003,E06,live
E06000015,Derby,01/01/2009,,E12000004,E06,live
E06000016,Leicester,01/01/2009,,E12000004,E06,live
E06000017,Rutland,01/01/2009,,E12000004,E06,live
E06000018,Nottingham,01/01/2009,,E12000004,E06,live
E06000019,"Herefordshire, County of",01/01/2009,,E12000005,E06,live
E06000020,Telford and Wrekin,01/01/2009,,E12000005,E06,live
E06000021,Stoke-on-Trent,01/01/2009,,E12000005,E06,live
E06000022,Bath and North East Somerset,01/01/2009,,E12000009,E06,live
E06000023,"Bristol, City of",01/01/2009,,E12000009,E06,live
E06000024,North Somerset,01/01/2009,,E12000009,E06,live
E06000025,South Gloucestershire,01/01/2009,,E12000009,E06,live
E06000026,Plymouth,01/01/2009,,E12000009,E06,live
E06000027,Torbay,01/01/2009,,E12000009,E06,live
E06000028,Bournemouth,01/01/2009,31/03/2019,E12000009,E06,terminated
E06000029,Poole,01/01/2009,31/03/2019,E12000009,E06,terminated
E06000030,Swindon,01/01/2009,,E12000009,E06,live
E06000031,Peterborough,01/01/2009,,E12000006,E06,live
E06000047,County Durham,01/04/2009,,E12000001,E06,live
E06000048,Northumberland,01/04/2009,31/03/2013,E12000001,E06,terminated
E06000049,Cheshire East,01/04/2009,,E12000002,E06,live
E06000050,Cheshire West and Chester,01/04/2009,,E12000002,E06,live
E06000051,Shropshire,01/04/2009,,E12000005,E06,live
E06000052,Cornwall,01/04/2009,,E12000009,E06,live
E06000053,Isles of Scilly,01/04/2009,,E12000009,E06,live
E06000054,Wiltshire,01/04/2009,,E12000009,E06,live
E06000055,Bedford,01/04/2009,,E12000006,E06,live
E06000056,Central Bedfordshire,01/04/2009,,E12000006,E06,live
E06000057,Northumberland,01/04/2013,,E12000001,E06,live
E08000037,Gateshead,01/04/2013,,E12000001,E08,live
E06000058,"Bournemouth, Christchurch and Poole",01/04/2019,,E12000009,E06,live
E06000059,Dorset,01/04/2019,,E12000009,E06,live
E06000060,Buckinghamshire,01/04/2020,,E12000008,E06,live
E06000061,North Northamptonshire,01/04/2021,,E12000004,E06,live
E06000062,West Northamptonshire,01/04/2021,,E12000004,E06,live
