"pcon_code","pcon_name","new_la_code","la_name","first_available_year_included","most_recent_year_included"
"E14000653","Crewe and Nantwich","E06000049","Cheshire East","2017","2023"
"E14000935","South Derbyshire","E10000007","Derbyshire","2017","2023"
"E14000639","Cities of London and Westminster","E13000001","Inner London","2017","2023"
"E14000746","Hexham","E11000007","Tyne and Wear","2017","2023"
"E14000555","Bethnal Green and Bow","E13000001","Inner London","2017","2023"
"E14000882","Poplar and Limehouse","E13000001","Inner London","2017","2023"
"E14000646","Congleton","E06000049","Cheshire East","2017","2023"
"E14000530","Aldershot","E10000014","Hampshire","2017","2023"
"E14000802","Macclesfield","E06000049","Cheshire East","2017","2023"
"E14000606","Broxbourne","E10000015","Hertfordshire","2017","2023"
"E14000947","South Swindon","E06000030","Swindon","2017","2023"
"E14000987","Tatton","E06000049","Cheshire East","2017","2023"
"E14000851","North Swindon","E06000030","Swindon","2017","2023"
"E14000686","Eddisbury","E06000049","Cheshire East","2017","2023"
"E14000767","Kenilworth and Southam","E10000031","Warwickshire","2017","2023"
"E14000844","North East Hampshire","E10000014","Hampshire","2017","2023"
"E14000720","Hackney North and Stoke Newington","E13000001","Inner London","2017","2023"
"E14000721","Hackney South and Shoreditch","E13000001","Inner London","2017","2023"
"E14000768","Kensington","E13000001","Inner London","2017","2023"
"E14000629","Chelsea and Fulham","E13000001","Inner London","2017","2023"
"E14000574","Blaydon","E06000057","Northumberland","2017","2023"
"E14001015","Wantage","E10000025","Oxfordshire","2017","2023"
"E14000576","Bognor Regis and Littlehampton","E10000032","West Sussex","2017","2023"
"E14000534","Arundel and South Downs","E10000032","West Sussex","2017","2023"
"E14000605","Bromsgrove","E10000034","Worcestershire","2017","2023"
"E14000707","Gainsborough","E10000019","Lincolnshire","2017","2023"
"E14000798","Louth and Horncastle","E10000019","Lincolnshire","2017","2023"
"E14000582","Boston and Skegness","E10000019","Lincolnshire","2017","2023"
"E14000847","North Herefordshire","E06000019","Herefordshire, County of","2017","2023"
"E14000572","Blackpool North and Cleveleys","E10000017","Lancashire","2017","2023"
"E14001057","Wyre and Preston North","E10000017","Lancashire","2017","2023"
"E14000776","Lancaster and Fleetwood","E10000017","Lancashire","2017","2023"
"E14001021","Watford","E10000015","Hertfordshire","2017","2023"
"E14000710","Gedling","E10000024","Nottinghamshire","2017","2023"
"E14000924","Sherwood","E10000024","Nottinghamshire","2017","2023"
"E14000742","Henley","E10000025","Oxfordshire","2017","2023"
"E14000874","Oxford West and Abingdon","E10000025","Oxfordshire","2017","2023"
"E14000743","Hereford and South Herefordshire","E06000019","Herefordshire, County of","2017","2023"
"E14000822","Milton Keynes South","E06000042","Milton Keynes","2017","2023"
"E14000927","Sittingbourne and Sheppey","E10000016","Kent","2017","2023"
"E14000821","Milton Keynes North","E06000042","Milton Keynes","2017","2023"
"E14000960","St Albans","E10000015","Hertfordshire","2017","2023"
"E14000659","Dartford","E10000016","Kent","2017","2023"
"E14000704","Folkestone and Hythe","E10000016","Kent","2017","2023"
"E14000819","Middlesbrough","E06000002","Middlesbrough","2017","2023"
"E14000820","Middlesbrough South and East Cleveland","E06000002","Middlesbrough","2017","2023"
"E14001062","York Outer","E06000014","York","2017","2023"
"E14001061","York Central","E06000014","York","2017","2023"
"E14000590","Braintree","E10000012","Essex","2017","2023"
"E14000619","Canterbury","E10000016","Kent","2017","2023"
"E14000943","South Ribble","E10000017","Lancashire","2017","2023"
"E14000952","South West Norfolk","E10000020","Norfolk","2017","2023"
"E14000658","Darlington","E06000005","Darlington","2017","2023"
"E14000950","South West Devon","E10000008","Devon","2017","2023"
"E14001001","Totnes","E10000008","Devon","2017","2023"
"E14000714","Grantham and Stamford","E10000019","Lincolnshire","2017","2023"
"E14000929","Sleaford and North Hykeham","E10000019","Lincolnshire","2017","2023"
"E14000816","Mid Norfolk","E10000020","Norfolk","2017","2023"
"E14000894","Ribble Valley","E10000017","Lancashire","2017","2023"
"E14000623","Central Devon","E10000008","Devon","2017","2023"
"E14001000","Torridge and West Devon","E10000008","Devon","2017","2023"
"E14000695","Erewash","E10000007","Derbyshire","2017","2023"
"E14000814","Mid Derbyshire","E10000007","Derbyshire","2017","2023"
"E14000915","Sedgefield","E06000005","Darlington","2017","2023"
"E14000965","Stafford","E10000028","Staffordshire","2017","2023"
"E14000850","North Somerset","E06000024","North Somerset","2017","2023"
"E14000858","North West Leicestershire","E10000018","Leicestershire","2017","2023"
"E14001038","Weston-super-Mare","E06000024","North Somerset","2017","2023"
"E14001058","Wyre Forest","E10000034","Worcestershire","2017","2023"
"E14000784","Leicester West","E06000016","Leicester","2017","2023"
"E14000783","Leicester South","E06000016","Leicester","2017","2023"
"E14000782","Leicester East","E06000016","Leicester","2017","2023"
"E14000748","High Peak","E10000007","Derbyshire","2017","2023"
"E14000607","Broxtowe","E10000024","Nottinghamshire","2017","2023"
"E14000535","Ashfield","E10000024","Nottinghamshire","2017","2023"
"E14000991","The Cotswolds","E10000013","Gloucestershire","2017","2023"
"E14000669","Doncaster North","E11000003","South Yorkshire","2017","2023"
"E14000668","Doncaster Central","E11000003","South Yorkshire","2017","2023"
"E14000667","Don Valley","E11000003","South Yorkshire","2017","2023"
"E14000775","Knowsley","E11000002","Merseyside","2017","2023"
"E14000602","Bristol West","E06000023","Bristol, City of","2017","2023"
"E14000922","Sheffield, Hallam","E11000003","South Yorkshire","2017","2023"
"E14000923","Sheffield, Heeley","E11000003","South Yorkshire","2017","2023"
"E14000878","Peterborough","E06000031","Peterborough","2017","2023"
"E14000920","Sheffield South East","E11000003","South Yorkshire","2017","2023"
"E14000708","Garston and Halewood","E11000002","Merseyside","2017","2023"
"E14000855","North West Cambridgeshire","E06000031","Peterborough","2017","2023"
"E14000599","Bristol East","E06000023","Bristol, City of","2017","2023"
"E14000963","St Helens South and Whiston","E11000002","Merseyside","2017","2023"
"E14000919","Sheffield Central","E11000003","South Yorkshire","2017","2023"
"E14000921","Sheffield, Brightside and Hillsborough","E11000003","South Yorkshire","2017","2023"
"E14000601","Bristol South","E06000023","Bristol, City of","2017","2023"
